Pack,Product Name,Mother Pack,Lead Pack,Brand,CAT,BU,CS,Grw Wgt,Net Wgt,DM3,Product_Code
12594281,MUNCH Mango 18(42x14g) IN, MUNCH Mango 14g,12594281,IN C&C : Munch,CHOCOLATE,F&B,756.0,13.419,10.584,60.48,12594281
12335158,NESTLE a+ Grekyo MP Strw 8(4x100g) IN,A+ GK YGT STW 100G,12335158,IN FD : Yoghurt,DAIRY,F&B,8.0,4.0,3.2,17.02,12335158
12344492,ALFAMINO ACS001-1 6x400g IN,ALFAMINO ACS001-1 400g,12344492,IN HCN : Alfamino,HCN,HCN,6.0,3.2,2.4,9.372,12344492
12456288,ALFAMINO ACS001-1 6x400g N1 IN,ALFAMINO ACS001-1 400g,12344492,IN HCN : Alfamino,HCN,HCN,6.0,3.35,2.4,10.131,12456288
12317671,ALFARE DS089-2 6x400g N1 IN,ALFARE DS089-2 400g,12317671,IN HCN : Alfare,HCN,HCN,6.0,3.3,2.4,10.082,12317671
12318087,ALTHERA DS079-2 6x450g N1 IN,ALTHERA DS079-2 450g,12318087,IN HCN : Althera,HCN,HCN,6.0,3.6,2.7,10.082,12318087
12160689,BABY&ME Maternal NutritionSupl 24x400gIN,BABY & ME Maternal Nutrition Supl 400g,12238569,IN NSB : BABY & ME,INFANT NUTRITION,NN,24.0,12.3,9.6,36.023,12160689
12238569,BABY & ME Maternal Nutr Supl 24x400g IN,BABY & ME Maternal Nutrition Supl 400g,12238569,IN NSB : BABY & ME,INFANT NUTRITION,NN,24.0,11.9,9.6,45.349,12238569
12553321,CEREGROW Grain Slcn Ragi Sample 48x50gIN,CEREGROW Grain Slcn Ragi Sample 48x50gIN,12553321,IN NSB : CEREGROW,INFANT NUTRITION,NN,48.0,3.5,2.4,27.894,12553321
12406889,CEREGROW Orgnc MU Ragi 24+BIB 24x200g IN,CEREGROW Orgnc MU Ragi 24+ BIB 200g,12406889,IN NSB : Ceregrow Org Sel 2-5y,INFANT NUTRITION,NN,24.0,7.099,4.8,41.743,12406889
12429543,CEREGROW Orgnc MU Ragi24+BIB24x200g N1IN,CEREGROW Orgnc MU Ragi 24+ BIB 200g,12406889,IN NSB : Ceregrow Org Sel 2-5y,INFANT NUTRITION,NN,24.0,7.1,4.8,41.743,12429543
12406886,CERELAC Orgnc MixedFrt 12+BIB 24x200g IN,CERELAC Orgnc MixedFrt 12+ BIB 200g,12406886,IN NSB : Cerelac Org Sel 12-24m,INFANT NUTRITION,NN,24.0,7.099,4.8,41.743,12406886
12429539,CERELAC Orgnc Mxd Frt 12+ BIB 24x200g IN,CERELAC Orgnc MixedFrt 12+ BIB 200g,12406886,IN NSB : Cerelac Org Sel 12-24m,INFANT NUTRITION,NN,24.0,7.1,4.8,41.743,12429539
