Distributor,total_tickets,months_active,avg_per_month,cluster
18MILES,5,2,2.5,0
A P J Associates,2,2,1.0,0
A S Associates,1,1,1.0,0
A S Distributor,3,2,1.5,0
ATLAS DISTRIBUTORS PRIVATE LIMITED,1,1,1.0,0
Aafiya Computers,1,1,1.0,0
Aarav Associates,15,6,2.5,3
Abdhu Traders,2,2,1.0,0
Adithya Enterprises,3,1,3.0,0
Akshaya Agencies,2,1,2.0,0
Alankar Stores,1,1,1.0,0
Allied Trading Enterprises,1,1,1.0,0
Ambooken Agencies,12,3,4.0,3
Amrutha Enterprises,18,6,3.0,3
Anand Agencies,1,1,1.0,0
Annai Agencies,1,1,1.0,0
Annapoorni Agencies,4,4,1.0,0
Apoorva Traders,1,1,1.0,0
Aspire Business Hub,5,4,1.25,0
Aswin Enterprises,34,6,5.666666666666667,2
Aswini Medicines,2,2,1.0,0
B Yemmaji Rao Sons,5,3,1.6666666666666667,0
BSN Links,7,2,3.5,0
Bagi Trading Company,5,3,1.6666666666666667,0
Balaji Agencies,20,6,3.3333333333333335,3
Best & Co,3,2,1.5,0
Bhanu Agencies,1,1,1.0,0
Bhanu Trading,4,1,4.0,0
Bismillah Enterprises,1,1,1.0,0
Blitzhaus Pet Mart.,33,6,5.5,2
Blue Dog Imports Private Limited,1,1,1.0,0
C J THOMAS & CO,3,3,1.0,0
Crescent Agencies,1,1,1.0,0
D V Janardhana Setty & Son,2,2,1.0,0
Deluxe Traders,6,4,1.5,0
Deva Trading Company,11,6,1.8333333333333333,3
Devaki General,1,1,1.0,0
Devaki Medical Hall,1,1,1.0,0
Dhanvanthri Marketing,1,1,1.0,0
Eskay Traders,2,1,2.0,0
Esquire,1,1,1.0,0
FM Trading,1,1,1.0,0
Fidha Traders,3,2,1.5,0
Five Star Agencies,2,2,1.0,0
Foodsta Supply Chain Private Limited,1,1,1.0,0
G V N and Sons,1,1,1.0,0
GM VENTURES,7,4,1.75,0
GVR Agencies,2,1,2.0,0
Ganesh Trading Co,1,1,1.0,0
Gautham Enterprises,2,2,1.0,0
Gem Agency,1,1,1.0,0
Global Distributors,2,2,1.0,0
Hanuman Traders,1,1,1.0,0
Happy Distributors,1,1,1.0,0
I J ENTERPRISES,6,4,1.5,0
I R S Agencies,1,1,1.0,0
Intelligent Retail Private Limited,124,6,20.666666666666668,1
Iraivi Enterprises,1,1,1.0,0
Ishrath Traders,3,2,1.5,0
Itagi Associates,2,2,1.0,0
J & B Associates,3,1,3.0,0
J S Distributors,7,2,3.5,0
Jai Agencies,1,1,1.0,0
Jaiteja Agencies,5,4,1.25,0
Jaya Traders,2,2,1.0,0
Jayasoundar Agency,1,1,1.0,0
Jehovah Distributors,4,1,4.0,0
Jyothi Agencies,4,3,1.3333333333333333,0
KV Agencies,4,1,4.0,0
Kalathil Agencies,4,3,1.3333333333333333,0
Kamalaksh Enterprises,4,2,2.0,0
Kirubai Agencies,2,1,2.0,0
Kottaram Business Corporation,9,4,2.25,0
Krishna Agencies,2,2,1.0,0
Krishna Associates,2,1,2.0,0
Krishna Enterprises,4,1,4.0,0
Krishna Traders,2,1,2.0,0
Kumar Associates,1,1,1.0,0
L K Enterprises,1,1,1.0,0
LNS Traders,1,1,1.0,0
LR SWAMY AGENCIES,1,1,1.0,0
Laasritha Enterprises,15,6,2.5,3
Lakshmi Enterprises,13,3,4.333333333333333,3
Lakshmi Venkateswara Agency,1,1,1.0,0
Lalitha Agencies,1,1,1.0,0
Laxmi Prasanna Agencies,9,3,3.0,0
Lekshmi Enterprises,7,5,1.4,0
Libra Consumables Private Limited,18,6,3.0,3
M S R Agencies,1,1,1.0,0
MM Agencies,1,1,1.0,0
Madhu Traders,6,5,1.2,0
Mahalaxmi Agencies,4,3,1.3333333333333333,0
Maruthi Enterprises,2,2,1.0,0
Mayaank Agency,1,1,1.0,0
Meenakshi Distributors,4,3,1.3333333333333333,0
Mion Enterprises,3,1,3.0,0
Munavalli Associates,5,4,1.25,0
Nahida Enterprises,6,5,1.2,0
Nandan Traders,1,1,1.0,0
Narayan Keshappa Sindol,6,4,1.5,0
Narayanan & Co,1,1,1.0,0
New Friends Agencies,1,1,1.0,0
Nikhil Enterprises,2,1,2.0,0
Nishita Agencies,1,1,1.0,0
Nivas Enterprises,1,1,1.0,0
OM Agencies,2,1,2.0,0
Om Agencies,1,1,1.0,0
Om Marketing,1,1,1.0,0
Om Muruga Agencys,1,1,1.0,0
Om Sri Srinivasa Traders,1,1,1.0,0
PREMIER MARKETING AGENCIES,1,1,1.0,0
Padmaja Enterprises,1,1,1.0,0
Pai Traders,5,3,1.6666666666666667,0
Pallickal Agencies,6,4,1.5,0
Paluru Distributors,1,1,1.0,0
Parameshwara Agencies,3,2,1.5,0
Pavan Agencies,23,5,4.6,3
Pay One Retail Private Limited,10,5,2.0,3
Pearl Enterprises,8,3,2.6666666666666665,0
Prajitha Marketing,2,2,1.0,0
Pramukha Agencies,1,1,1.0,0
Prem Agencies,5,4,1.25,0
Prime Marketing,1,1,1.0,0
Priya Agencies,5,3,1.6666666666666667,0
R J Swetha Agency,3,1,3.0,0
R K Enterprises,1,1,1.0,0
R L Agency,3,2,1.5,0
R P Agency,3,3,1.0,0
R R Agencies,2,2,1.0,0
RG Associates,1,1,1.0,0
Radharamana Enterprises,2,2,1.0,0
Radhika Agencies,1,1,1.0,0
Rahamath Agencies,3,2,1.5,0
Ramya Agency,2,2,1.0,0
Ramya Agenices,1,1,1.0,0
Rathna Agencies,11,3,3.6666666666666665,3
Right Angle Enterprises,5,3,1.6666666666666667,0
S L N Marketers,1,1,1.0,0
S L V Enterprises,3,2,1.5,0
S M M Agencies,3,3,1.0,0
S S Distributors,3,2,1.5,0
S V D Pharmaceuticals,4,2,2.0,0
S V Enterprises,14,5,2.8,3
SR Trading Company,1,1,1.0,0
SRI DATTA AGENCIES,2,2,1.0,0
Sabari Distribution Private Limited,5,2,2.5,0
Sadhmirra Private Limited,6,4,1.5,0
Sagar Traders,1,1,1.0,0
