Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
6852868-20260428-163605,,Not Available,Not Available,Not Available,Nescafe Gold Original Rs. 1450,Not Available
6852868-20260428-164006,,Not Available,Not Available,Not Available,Damage and wet cartons of chocolate- Kitkat Rs. 25,Not Available
6852868-20260130-160237,,Not Available,Not Available,Not Available,,Not Available
6852868-20260127-120147,,Not Available,Not Available,Not Available,Milkybar Mould Rs. 20; Milkybar Mould 16(24*24.5g) N1 IN SKU Code: 5341C711AA,Not Available
6852868-20260127-120439,,Not Available,Not Available,Not Available,Iced Premix- 2,Not Available
5242655-20260408-160308,12586422,IN CUL : Noodles Value Added,CULINARY,F&B,MAGGI NTR-ICS ATTA 96*72.5G RC 2 IN -1,Exact Product Code Match
5242655-20260302-140013,60170453,Not Available,Not Available,Not Available,,Not Available
5242655-20260302-140013,60440453,Not Available,Not Available,Not Available,,Not Available
6973481-20260416-111911,,Not Available,Not Available,Not Available,,Not Available
6999039-20260415-124530,14328933,IN C&C : Kitkat,CHOCOLATE,F&B,KK 2F MINI JAR6((58+2)*13.2G ),Exact Product Code Match
6999039-20260415-124835,13680087,IN CUL : Noodles,CULINARY,F&B,MAGGI MASALA 16*450GM,Exact Product Code Match
6999039-20260120-190922,12584920,IN SSD : Milkmaid SCM,DAIRY,F&B,MILK MAID,Exact Product Code Match
7485824-20260506-131313,13680206,IN CUL : Noodles,CULINARY,F&B,MAGGI 2-MINN Mas 24*300g N1 IN,Exact Product Code Match
6824058-20260630-131544,,Not Available,Not Available,Not Available,MAGGI HOT & SWEET 24x500g N1,Not Available
6824058-20260603-155215,,Not Available,Not Available,Not Available,KITKAT CHUNKY Miniatures 24x126g,Not Available
6824058-20260530-113030,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 48x150g N1,Not Available
6824058-20260528-130103,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Liquid 6(6x180ml) IN,Not Available
6824058-20260512-124517,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 48x150g N1,Not Available
6824058-20260512-125430,,Not Available,Not Available,Not Available,MAGGI Tomato Ketchup 12x960g IN,Not Available
6824058-20260508-140201,,Not Available,Not Available,Not Available,CERL STG3 Whe Rice Mix Frt 24x300g WS IN,Not Available
6824058-20260428-124743,,Not Available,Not Available,Not Available,NESTLE Munch Cereal 32x120g IN,Not Available
6824058-20260420-121358,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 96x75g N2 IN,Not Available
6824058-20260410-135740,,Not Available,Not Available,Not Available,CERELAC STG2 Rice Veg 24x300g ZS IN,Not Available
6824058-20260410-135943,,Not Available,Not Available,Not Available,CERELAC STG2 Whe App Chry ZS 24x350g IN,Not Available
6824058-20260404-114351,,Not Available,Not Available,Not Available,MUNCH Maxx 12(24x42g) PR Iphone IN,Not Available
6824058-20260327-175401,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Liquid 6(6x180ml) IN,Not Available
6824058-20260206-155104,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Powder 12x1kg N2 IN,Not Available
6824058-20260110-123234,,Not Available,Not Available,Not Available,KIT KAT 2F MINI 24(42x13.2g) IN,Not Available
7023429-20260302-100313,12602710,IN C&B : Nescafe Sunrise Large Packs,BEVERAGES,F&B,NESCAFE CLASSIC JAR 36X24g NR IN,Exact Product Code Match
7023429-20260213-115522,12567446,IN NSB : Pre NAN,INFANT NUTRITION,NN,PRE NAN IF TIN 15X400g DS520-2 IN,Exact Product Code Match
6903453-20260430-123404,,Not Available,Not Available,Not Available,,Not Available
6903453-20260430-123632,,Not Available,Not Available,Not Available,,Not Available
6903453-20260427-124433,,Not Available,Not Available,Not Available,,Not Available
5584508-20260223-174234,,Not Available,Not Available,Not Available,,Not Available
5584508-20260223-174643,12559238,IN CUL : MAGGI NDLS - FLAVOURS,CULINARY,F&B,PROD NAME MAGGI 2-MIN Spicy Garlic 24x248g IN,Exact Product Code Match
600977-20260505-122925,12610509,IN SSD : EveryDay DW,DAIRY,F&B,SHORT : EVERYDAY DW 12x1kg NR KL IN 2 CS,Exact Product Code Match
600977-20260505-122925,12616536,IN CUL : Noodles Chicken,CULINARY,F&B,SHORT : EVERYDAY DW 12x1kg NR KL IN 2 CS,Exact Product Code Match
600980-20260508-225758,,Not Available,Not Available,Not Available,,Not Available
600983-20260622-144417,14515244,IN NSB : NAN EXCELLAPRO 2,INFANT NUTRITION,NN,Nan Excella Pro2 Bib 24x400g,Exact Product Code Match
600983-20260618-160722,12616966,IN NSB : Lactogen 2,INFANT NUTRITION,NN,"LACTOGEN PRO2 BIB (3X400g)INLEB086 IN Sir, The above mentioned item has a shelf life of only 3 months Up To 10.09.2026 .Therefore we cannot Supply this product to the Hospitals",Exact Product Code Match
600983-20260612-161346,10584810,Not Available,Not Available,Not Available,Product Description Rice Ada,Not Available
600983-20260508-155830,12623078,IN NSB : Lactogen 1,INFANT NUTRITION,NN,LACTOGEN PRO 1TIN 15x475G INNWPB176 IN,Exact Product Code Match
600983-20260508-160255,12518425,IN NSB : NAN EXCELLAPRO 2,INFANT NUTRITION,NN,NAN EXCELLA PRO2 BIB 24x400G INLW071 IN,Exact Product Code Match
600983-20260325-132847,13679901,IN CUL : Noodles,CULINARY,F&B,MAGGI 2 MINN Masala 96x75g IN X244 -MRP 15/,Exact Product Code Match
600983-20260325-133325,13680087,IN CUL : Noodles,CULINARY,F&B,MAGGI 2 MINN MAS 24x300G PR Rs 2 OFF IN,Exact Product Code Match
600983-20260325-133850,10584810,Not Available,Not Available,Not Available,Rice Ada,Not Available
5531976-20260318-165642,,Not Available,Not Available,Not Available,,Not Available
600983-20260313-164308,12585176,IN NSB : Lactogen 3,INFANT NUTRITION,NN,,Exact Product Code Match
600983-20260313-164816,12616560,IN CUL : Noodles Chicken,CULINARY,F&B,MAGGI 2 MINN Chkn 48x152g IN X244-68.00,Exact Product Code Match
5531976-20260303-154710,12559592,IN CUL : Pazzta,CULINARY,F&B,,Exact Product Code Match
600985-20260623-153909,,Not Available,Not Available,Not Available,LACTOGEN PRO2 BIB 24x400g INLEB086 N1 IN,Not Available
600985-20260611-151319,13970092,IN NSB : Cerelac 2,INFANT NUTRITION,NN,CERELAC STG2 Wheat App Chry 24x360gZS IN,Exact Product Code Match
600985-20260611-152949,12499422,IN SSD : Nescafe RTD Cold Coffee,DAIRY,F&B,NESCAFE RTD Mochaccino 30x180ml IN,Exact Product Code Match
600985-20260605-171842,12230487,IN SSD : Milkmaid SCM – FS,NP,NP,MILKMAID Partly Skimmed SCM Tin 4x5kg IN,Exact Product Code Match
600985-20260509-175635,,Not Available,Not Available,Not Available,MAGGI Masala-ae-Magic Sbg 40x120g N4 IN,Not Available
600985-20260509-180126,,Not Available,Not Available,Not Available,MAGGI Masala-ae-Magic Sbg 40x120g N4 IN,Not Available
600985-20260424-132434,,Not Available,Not Available,Not Available,CERELAC STG1 Wht App Carrot 24x330gZS IN,Not Available
