Ticket_Number,Product_Code,Brand,CAT,BU,SKU_Name,Mapping_Status
6852868-20260428-163605,,Not Available,Not Available,Not Available,Nescafe Gold Original Rs. 1450,Not Available
6852868-20260428-164006,,Not Available,Not Available,Not Available,Damage and wet cartons of chocolate- Kitkat Rs. 25,Not Available
6852868-20260130-160237,,Not Available,Not Available,Not Available,,Not Available
6852868-20260127-120147,,Not Available,Not Available,Not Available,Milkybar Mould Rs. 20; Milkybar Mould 16(24*24.5g) N1 IN SKU Code: 5341C711AA,Not Available
6852868-20260127-120439,,Not Available,Not Available,Not Available,Iced Premix- 2,Not Available
5242655-20260302-140013,60170453,Not Available,Not Available,Not Available,,Not Available
5242655-20260302-140013,60440453,Not Available,Not Available,Not Available,,Not Available
6973481-20260416-111911,,Not Available,Not Available,Not Available,,Not Available
6824058-20260630-131544,,Not Available,Not Available,Not Available,MAGGI HOT & SWEET 24x500g N1,Not Available
6824058-20260603-155215,,Not Available,Not Available,Not Available,KITKAT CHUNKY Miniatures 24x126g,Not Available
6824058-20260530-113030,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 48x150g N1,Not Available
6824058-20260528-130103,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Liquid 6(6x180ml) IN,Not Available
6824058-20260512-124517,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 48x150g N1,Not Available
6824058-20260512-125430,,Not Available,Not Available,Not Available,MAGGI Tomato Ketchup 12x960g IN,Not Available
6824058-20260508-140201,,Not Available,Not Available,Not Available,CERL STG3 Whe Rice Mix Frt 24x300g WS IN,Not Available
6824058-20260428-124743,,Not Available,Not Available,Not Available,NESTLE Munch Cereal 32x120g IN,Not Available
6824058-20260420-121358,,Not Available,Not Available,Not Available,MAGGI 2-MINN Masala 96x75g N2 IN,Not Available
6824058-20260410-135740,,Not Available,Not Available,Not Available,CERELAC STG2 Rice Veg 24x300g ZS IN,Not Available
6824058-20260410-135943,,Not Available,Not Available,Not Available,CERELAC STG2 Whe App Chry ZS 24x350g IN,Not Available
6824058-20260404-114351,,Not Available,Not Available,Not Available,MUNCH Maxx 12(24x42g) PR Iphone IN,Not Available
6824058-20260327-175401,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Liquid 6(6x180ml) IN,Not Available
6824058-20260206-155104,,Not Available,Not Available,Not Available,MAGGI Coconut Milk Powder 12x1kg N2 IN,Not Available
6824058-20260110-123234,,Not Available,Not Available,Not Available,KIT KAT 2F MINI 24(42x13.2g) IN,Not Available
6903453-20260430-123404,,Not Available,Not Available,Not Available,,Not Available
6903453-20260430-123632,,Not Available,Not Available,Not Available,,Not Available
6903453-20260427-124433,,Not Available,Not Available,Not Available,,Not Available
5584508-20260223-174234,,Not Available,Not Available,Not Available,,Not Available
600980-20260508-225758,,Not Available,Not Available,Not Available,,Not Available
600983-20260612-161346,10584810,Not Available,Not Available,Not Available,Product Description Rice Ada,Not Available
600983-20260325-133850,10584810,Not Available,Not Available,Not Available,Rice Ada,Not Available
5531976-20260318-165642,,Not Available,Not Available,Not Available,,Not Available
600985-20260623-153909,,Not Available,Not Available,Not Available,LACTOGEN PRO2 BIB 24x400g INLEB086 N1 IN,Not Available
600985-20260509-175635,,Not Available,Not Available,Not Available,MAGGI Masala-ae-Magic Sbg 40x120g N4 IN,Not Available
600985-20260509-180126,,Not Available,Not Available,Not Available,MAGGI Masala-ae-Magic Sbg 40x120g N4 IN,Not Available
600985-20260424-132434,,Not Available,Not Available,Not Available,CERELAC STG1 Wht App Carrot 24x330gZS IN,Not Available
600985-20260418-142943,,Not Available,Not Available,Not Available,LACTOGEN PRO1 BIB 24x400g INNWPB176 IN,Not Available
600985-20260130-164353,,Not Available,Not Available,Not Available,,Not Available
600985-20260123-142139,,Not Available,Not Available,Not Available,,Not Available
3997672-20260111-174711,,Not Available,Not Available,Not Available,,Not Available
7566721-20260630-182134,,Not Available,Not Available,Not Available,,Not Available
600991-20260618-103006,,Not Available,Not Available,Not Available,,Not Available
600991-20260403-103530,,Not Available,Not Available,Not Available,,Not Available
600991-20260203-104125,,Not Available,Not Available,Not Available,,Not Available
600991-20260126-115228,,Not Available,Not Available,Not Available,,Not Available
7542191-20260609-135040,,Not Available,Not Available,Not Available,,Not Available
7313829-20260618-155617,,Not Available,Not Available,Not Available,MAGGI 2-MINN Mas 24X300g PR RS 2 Off IN X244,Not Available
7313829-20260411-163054,,Not Available,Not Available,Not Available,NESCAFE Clas Black Roast Jar 24X90g IN,Not Available
7313829-20260411-163616,,Not Available,Not Available,Not Available,MAGGI 2-MINN Chkn 24X304g IN X244 - 62.00,Not Available
7313829-20260115-130151,19023010,Not Available,Not Available,Not Available,"MAG-NTR-ICS-ATTA 96*73.5G TANGY TOM IN,",Not Available
601004-20260608-124832,,Not Available,Not Available,Not Available,,Not Available
601004-20260311-102429,,Not Available,Not Available,Not Available,,Not Available
7453826-20260416-152351,,Not Available,Not Available,Not Available,,Not Available
6224559-20260608-181318,,Not Available,Not Available,Not Available,,Not Available
601014-20260525-192337,19023010,Not Available,Not Available,Not Available,,Not Available
601014-20260415-171830,19011090,Not Available,Not Available,Not Available,,Not Available
6441951-20260620-164409,,Not Available,Not Available,Not Available,,Not Available
6441951-20260508-184949,,Not Available,Not Available,Not Available,,Not Available
6441951-20260331-163702,,Not Available,Not Available,Not Available,,Not Available
6441951-20260331-193005,,Not Available,Not Available,Not Available,,Not Available
6441951-20260328-180739,,Not Available,Not Available,Not Available,,Not Available
4766881-20260515-165915,,Not Available,Not Available,Not Available,,Not Available
4766881-20260502-110041,,Not Available,Not Available,Not Available,,Not Available
4766881-20260501-195540,,Not Available,Not Available,Not Available,,Not Available
4766881-20260428-124850,,Not Available,Not Available,Not Available,,Not Available
4766881-20260423-155354,,Not Available,Not Available,Not Available,,Not Available
4766881-20260128-163822,,Not Available,Not Available,Not Available,,Not Available
7043746-20260528-145031,,Not Available,Not Available,Not Available,,Not Available
7043746-20260528-145213,,Not Available,Not Available,Not Available,,Not Available
7301189-20260518-153106,,Not Available,Not Available,Not Available,,Not Available
6077575-20260630-141256,,Not Available,Not Available,Not Available,,Not Available
6077575-20260630-141622,,Not Available,Not Available,Not Available,,Not Available
6077575-20260629-151132,,Not Available,Not Available,Not Available,,Not Available
6077575-20260624-152200,,Not Available,Not Available,Not Available,,Not Available
6077575-20260619-121704,,Not Available,Not Available,Not Available,,Not Available
6077575-20260619-121832,,Not Available,Not Available,Not Available,,Not Available
6077575-20260526-154623,,Not Available,Not Available,Not Available,,Not Available
6077575-20260428-133438,12581838,Not Available,Not Available,Not Available,,Not Available
6077575-20260325-121805,,Not Available,Not Available,Not Available,,Not Available
6077575-20260325-121824,,Not Available,Not Available,Not Available,,Not Available
6077575-20260318-123719,,Not Available,Not Available,Not Available,,Not Available
6077575-20260313-164414,,Not Available,Not Available,Not Available,,Not Available
6077575-20260310-131851,,Not Available,Not Available,Not Available,,Not Available
6077575-20260228-144435,,Not Available,Not Available,Not Available,,Not Available
