Ticket Number,Ticket_Date,Invoice_Number,Product_Code_Extracted,Batch_Code,Distributor_Code,Distributor_Name,DC,Current_Status,VTA_VTR_Match_Status,Reconciliation_Remarks
6852868-20260428-163605,2026-04-28,1099842467,,,6852868,18MILES,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6852868-20260428-164006,2026-04-28,1099847548,,,6852868,18MILES,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6852868-20260130-160237,2026-01-30,"1099833365, 1099832066, ",,,6852868,18MILES,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6852868-20260127-120147,2026-01-27,1099828612,,,6852868,18MILES,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6852868-20260127-120439,2026-01-27,1099828612,,,6852868,18MILES,2032,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5242655-20260408-160308,2026-04-08,959172670,12586422,60670455CA,5242655,A P J Associates,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
5242655-20260302-140013,2026-03-02,959163652,60170453; 60440453,,5242655,A P J Associates,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6973481-20260416-111911,2026-04-16,"1365801306, 1365801306, 1365802192, 1365802192",,,6973481,A S Associates,C963,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6999039-20260415-124530,2026-04-15,959173316,14328933,,6999039,A S Distributor,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6999039-20260415-124835,2026-04-15,959173317,13680087,,6999039,A S Distributor,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
6999039-20260120-190922,2026-01-20,959153285,12584920,,6999039,A S Distributor,B744,Closed,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
7485824-20260506-131313,2026-05-06,974818892,13680206,60580452CA,7485824,Aafiya Computers,C749,Pending,Source Not Available,No VTA/VTR reconciled workbook was supplied in this upload; no unsupported match was fabricated.
